song name,danceability (0-1),energy (0-1),valence (0-1),tempo (BPM),loudness (Decibels),speechiness (0-1),instrumentalness (0-1),How much we like it  (1-10)
Stop This Train,0.619,0.437,0.406,89.511,-11.756,0.0314,0.00609,9
Harvest Moon,0.648,0.309,0.407,112.929,-12.432,0.0264,0.000249,8
The Heart of Life,0.496,0.238,0.349,175.96,-11.026,0.0301,0.0109,8
I Say a Little Prayer,0.592,0.355,0.499,133.032,-14.051,0.0352,0,7
Dust in the Wind,0.475,0.322,0.387,93.503,-10.687,0.0283,0.00056,10
Hotel California - 2013 Remaster,0.579,0.508,0.609,147.125,-9.484,0.027,0.000494,9
Never Going Back Again - 2004 Remaster,0.654,0.336,0.947,176.083,-12.825,0.0379,0.385,8
One of These Nights - 2013 Remaster,0.655,0.606,0.765,110.061,-10.385,0.0285,0.0789,7
Don't Let Me Down - Remastered 2009,0.593,0.289,0.733,77.119,-11.049,0.0259,0.000829,8
Stairway to Heaven - Remaster,0.338,0.34,0.197,82.433,-12.049,0.0339,0.0032,9
Long Road Out of Eden,0.535,0.398,0.16,82.171,-9.591,0.0318,0.000889,9
All Along the Watchtower,0.438,0.805,0.564,113.253,-6.237,0.0624,5.69E-05,10
Going to California - Remaster,0.503,0.265,0.522,78.044,-15.913,0.0333,0.045,8
The Wind Cries Mary,0.499,0.495,0.339,80.086,-10.508,0.0501,0.0286,9
Operator (That's Not The Way It Feels),0.692,0.623,0.832,129.966,-6.227,0.0298,3.38E-06,10
If Not For You - Remastered 2014,0.607,0.755,0.867,116.119,-6.886,0.0317,0.00399,8
Tomorrow's Gonna Be A Brighter Day,0.523,0.663,0.795,167.094,-8.933,0.0478,1.29E-06,10
Landslide,0.414,0.161,0.423,159.375,-22.32,0.0318,0.000223,9
I'll Have To Say I Love You In A Song,0.536,0.446,0.707,133.785,-14.98,0.029,0.0103,10
Here Comes The Sun - Remastered 2009,0.557,0.54,0.394,129.171,-10.484,0.0347,0.00248,8
Mr. Tambourine Man,0.39,0.31,0.584,177.515,-14.545,0.0676,0,8
A Horse with No Name,0.654,0.506,0.831,123.179,-17.18,0.0535,0.0155,8
Heart of Gold - 2009 Remaster,0.541,0.459,0.803,171.165,-10.433,0.0297,0.0274,7
I'm a Believer - 2006 Remaster,0.526,0.775,0.962,80.106,-6.05,0.0352,2.05E-05,8
A Hard Rain's A-Gonna Fall,0.567,0.198,0.321,92.467,-18.681,0.0327,0.000871,7
The Lighthouse's Tale,0.463,0.297,0.301,115.745,-12.147,0.0323,0,9
Blackbird - Remastered 2009,0.686,0.127,0.372,93.699,-14.361,0.0342,1.41E-05,10
Helplessly Hoping - 2005 Remaster,0.567,0.159,0.436,146.913,-13.648,0.0331,0,10
If You Could Read My Mind,0.612,0.24,0.223,122.565,-12.821,0.033,7.86E-05,10
"Corrina, Corrina",0.667,0.209,0.685,95.311,-16.915,0.0358,0.00696,9
"Capo, 4th Fret",0.416,0.395,0.153,154.567,-8.131,0.0315,0,7
Sunshine On My Shoulders,0.322,0.168,0.259,146.68,-13.893,0.0336,0.000223,9
Peace Train,0.61,0.582,0.781,82.492,-10.422,0.044,3.76E-05,7
Tell It on the Mountain,0.619,0.261,0.658,116.379,-10.632,0.0357,0,7
Fire and Rain,0.511,0.141,0.306,137.29,-14.047,0.0322,0.000337,10
Do for the Others,0.565,0.187,0.101,80.346,-17.895,0.0317,7.15E-05,8
Fire and Rain - 2019 Remaster,0.597,0.271,0.338,76.271,-17.293,0.0394,0.0119,10
Let It Be,0.522,0.149,0.364,124.847,-12.609,0.0334,0,9
Around and Around,0.52,0.28,0.61,76.636,-11.174,0.0334,0,8
Song In My Head,0.515,0.582,0.641,119.089,-6.226,0.0414,7.09E-05,9
Plain Letters,0.764,0.669,0.789,126.6,-7.275,0.0285,2.14E-05,8
"Poems, Prayers and Promises",0.566,0.182,0.492,145.014,-13.261,0.0375,0,10
Pin It Down,0.637,0.565,0.689,167.687,-6.864,0.0551,1.03E-05,9
"Don't Think Twice, It's All Right",0.437,0.104,0.544,101.718,-22.533,0.0307,0.00124,9
Beauty Into Clich�s,0.738,0.54,0.627,132.11,-5.893,0.0487,7.69E-06,10
Soul Meets Body,0.621,0.853,0.714,128.142,-5.735,0.0253,3.26E-06,8
Love the One You're With,0.609,0.489,0.132,97.163,-12.9,0.0383,0,8
Giraffe,0.548,0.752,0.291,91.971,-6.707,0.0306,0.887,8
Shape Of My Heart,0.537,0.373,0.244,83.936,-10.081,0.0331,0.000915,10
Rattle,0.475,0.278,0.157,141.65,-14.99,0.0388,0.0549,9
On Jordan's Stormy Banks,0.563,0.439,0.318,89.357,-10.479,0.037,3.34E-05,9
House on a Hill,0.48,0.0729,0.235,111.987,-14.602,0.0559,0,9
My Arms Were Always Around You,0.643,0.436,0.422,91.485,-12.245,0.0273,0.459,8
Garden,0.495,0.118,0.228,107.211,-11.065,0.034,8.10E-06,8
The Sound of Silence,0.322,0.28,0.175,85.794,-9.367,0.0281,1.10E-06,9
The in Crowd,0.654,0.726,0.648,142.434,-12.501,0.114,0.153,9
Moanin',0.488,0.476,0.583,110.951,-10.316,0.0497,0.000279,9
Burnin' Coal,0.508,0.779,0.893,79.528,-9.032,0.0403,0.298,9
"A Love Supreme, Pt. I � Acknowledgement",0.37,0.586,0.519,121.573,-13.468,0.0581,1.96E-06,9
"Gloria's Step - Live At The Village Vanguard, 1961 / Take 2",0.5,0.235,0.359,80.2,-21.303,0.041,0.9,8
St. Thomas,0.552,0.509,0.74,112.049,-9.828,0.0428,0.509,8
Better Git It in Your Soul,0.457,0.548,0.76,88.8,-12.486,0.0551,0.00016,7
Sometimes I Cry,0.481,0.259,0.541,135.941,-15.444,0.0322,0.798,8
The Philosopher,0.514,0.712,0.717,127.416,-9.378,0.0429,0.894,9
F(r)iends,0.625,0.677,0.273,124.016,-9.314,0.131,0,8
Fletcher's Song In Club,0.869,0.302,0.62,97.997,-22.706,0.112,0.975,7
Pocket Lint,0.488,0.755,0.467,117.267,-7.276,0.107,0,8
Caravan,0.423,0.748,0.429,104.054,-9.982,0.0807,0.835,9
