song name,danceability (0-1),energy (0-1),valence (0-1),tempo (BPM),loudness (Decibels),speechiness (0-1),instrumentalness (0-1),How much we like it  (1-10)
A Hard Rain's A-Gonna Fall,0.567,0.198,0.321,92.467,-18.681,0.0327,0.000871,7
A Horse with No Name,0.654,0.506,0.831,123.179,-17.18,0.0535,0.0155,8
"A Love Supreme, Pt. I – Acknowledgement",0.37,0.586,0.519,121.573,-13.468,0.0581,1.96E-06,9
Ain't No Sunshine featuring Tracy Chapman,0.666,0.421,0.441,79.919,-8.553,0.0421,0.0134,9
Album of the Year - Freestyle,0.705,0.816,0.929,94.211,-7.046,0.32,0,5
All Along the Watchtower,0.438,0.805,0.564,113.253,-6.237,0.0624,5.69E-05,10
All That You Have Is Your Soul,0.571,0.0967,0.518,146.384,-16.315,0.0478,0,8
Aloha,0.6,0.726,0.395,100.075,-5.988,0.166,8.22E-05,5
Alone In My Home,0.6,0.603,0.446,96.024,-9.412,0.0354,0.00146,5
Am I Evil?,0.242,0.973,0.369,148.095,-4.739,0.148,0.82,1
Aminals,0.74,0.698,0.715,95.003,-6.444,0.136,0.751,5
Animal,0.774,0.721,0.654,118.048,-6.662,0.0773,6.49E-06,5
Animus:Anima,0.336,0.733,0.723,169.932,-6.682,0.0624,0.946,4
Another Way to Die,0.541,0.772,0.43,71.201,-3.874,0.136,8.48E-05,5
Archangel,0.407,0.967,0.227,180.027,-7.104,0.0666,0.00142,1
Around and Around,0.52,0.28,0.61,76.636,-11.174,0.0334,0,8
Beauty Into Clichés,0.738,0.54,0.627,132.11,-5.893,0.0487,7.69E-06,10
Believer,0.772,0.775,0.748,124.978,-4.388,0.112,0,5
Better Git It in Your Soul,0.457,0.548,0.76,88.8,-12.486,0.0551,0.00016,7
Blackbird - Remastered 2009,0.686,0.127,0.372,93.699,-14.361,0.0342,1.41E-05,10
Bloodline,0.457,0.977,0.407,100.951,-3.794,0.0968,1.20E-06,1
Boys Latin,0.423,0.858,0.522,90.056,-6.002,0.0564,0.000661,3
BRACKETS,0.678,0.567,0.658,84.039,-9.148,0.261,1.67E-06,4
Burnin' Coal,0.508,0.779,0.893,79.528,-9.032,0.0403,0.298,9
"Capo, 4th Fret",0.416,0.395,0.153,154.567,-8.131,0.0315,0,7
Caravan,0.423,0.748,0.429,104.054,-9.982,0.0807,0.835,9
Casin,0.964,0.662,0.737,104.022,-6.84,0.217,0.0657,4
Coastin',0.811,0.678,0.426,91.976,-7.357,0.0561,0.00123,3
Come and See Me (feat. Drake),0.717,0.347,0.0589,84.987,-10.265,0.0636,2.43E-06,4
